"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""

"U20,""SOT353"",""7868.733mil"",""2900mil"",""7868.75mil"",""2900mil"",""7904.15mil"",""2874.409mil"",""T"",""360.00"",""74LVC1G17GW"""
"U18,""SOT353"",""7589.983mil"",""2630mil"",""7590mil"",""2630mil"",""7625.4mil"",""2604.409mil"",""T"",""360.00"",""74LVC1G17GW"""
"F9,""MF-RX012-250-0"",""6105mil"",""560mil"",""6105mil"",""560mil"",""6105mil"",""660.394mil"",""T"",""270.00"",""MF-RX012/250"""
"F8,""MF-RX012-250-0"",""5760mil"",""560mil"",""5760mil"",""560mil"",""5760mil"",""660.394mil"",""T"",""270.00"",""MF-RX012/250"""
"F7,""MF-RX012-250-0"",""5415mil"",""560mil"",""5415mil"",""560mil"",""5415mil"",""660.394mil"",""T"",""270.00"",""MF-RX012/250"""
"F6,""MF-RX012-250-0"",""5050mil"",""565mil"",""5050mil"",""565mil"",""5050mil"",""665.394mil"",""T"",""270.00"",""MF-RX012/250"""
"R101,""0603_ReflowSoldering_RES"",""3100mil"",""1085mil"",""3100mil"",""1085mil"",""3126.4mil"",""1085mil"",""T"",""180.00"",""RES_0603_1%_100PPM_4.7K"""
"C73,""0603_ReflowSoldering_CAP"",""3030mil"",""895mil"",""3030mil"",""895mil"",""3003.6mil"",""895mil"",""T"",""360.00"",""C_0603_X7R_10%_10N-50V"""
"C12,""0603_ReflowSoldering_CAP"",""3030mil"",""965mil"",""3030mil"",""965mil"",""3003.6mil"",""965mil"",""T"",""360.00"",""C_0603_X7R_10%_10N-50V"""
"R99,""0603_ReflowSoldering_RES"",""3095mil"",""1220mil"",""3095mil"",""1220mil"",""3068.6mil"",""1220mil"",""T"",""360.00"",""RES_0603_1%_100PPM_10K"""
"R98,""0603_ReflowSoldering_RES"",""2905mil"",""1180mil"",""2905mil"",""1180mil"",""2878.6mil"",""1180mil"",""T"",""360.00"",""RES_0603_1%_100PPM_10K"""
"R96,""0603_ReflowSoldering_RES"",""3095mil"",""1155mil"",""3095mil"",""1155mil"",""3068.6mil"",""1155mil"",""T"",""360.00"",""RES_0603_1%_100PPM_10K"""
"R86,""0603_ReflowSoldering_RES"",""3965mil"",""1785mil"",""3965mil"",""1785mil"",""3965mil"",""1758.6mil"",""T"",""90.00"",""RES_0603_1%_100PPM_10K"""
"R36,""0603_ReflowSoldering_RES"",""3275mil"",""1393.75mil"",""3275mil"",""1393.75mil"",""3275mil"",""1367.35mil"",""T"",""90.00"",""RES_0603_1%_100PPM_4.7K"""
"C120,""0805_ReflowSoldering_CAP"",""1743.75mil"",""1518.75mil"",""1743.75mil"",""1518.75mil"",""1707.75mil"",""1518.75mil"",""T"",""360.00"",""C_0805_X5R_10%_1U-25V"""
"R105,""0603_ReflowSoldering_RES"",""1906.25mil"",""1706.25mil"",""1906.25mil"",""1706.25mil"",""1879.85mil"",""1706.25mil"",""T"",""360.00"",""RES_0603_1%_100PPM_10K"""
"R200,""0603_ReflowSoldering_RES"",""281.25mil"",""2018.75mil"",""281.25mil"",""2018.75mil"",""254.85mil"",""2018.75mil"",""T"",""360.00"",""RES_0603_1%_100PPM_10K"""
"R192,""0603_ReflowSoldering_RES"",""143.75mil"",""2018.75mil"",""143.75mil"",""2018.75mil"",""170.15mil"",""2018.75mil"",""T"",""180.00"",""RES_0603_1%_100PPM_10K"""
"R178,""0603_ReflowSoldering_RES"",""7993.75mil"",""2800mil"",""7993.75mil"",""2800mil"",""8020.15mil"",""2800mil"",""T"",""180.00"",""RES_0603_1%_100PPM_4.7K"""
"R187,""0603_ReflowSoldering_RES"",""7675mil"",""2768.75mil"",""7675mil"",""2768.75mil"",""7675mil"",""2795.15mil"",""T"",""270.00"",""RES_0603_1%_100PPM_4.7K"""
"R183,""0603_ReflowSoldering_RES"",""7756.25mil"",""2768.75mil"",""7756.25mil"",""2768.75mil"",""7756.25mil"",""2742.35mil"",""T"",""90.00"",""RES_0603_1%_100PPM_2.2K"""
